case_id,event_nr,activity,timestamp,resource,channel,customer_segment,product,location,system,wait_time_sec,duration_sec,cost_usd,priority,rework_flag,sla_breach,outcome,weekday,hour,case_day
C0001,1,Receive Request,2025-06-06 16:40:12,Agent_E,Chat,SMB-Retail,Plus,Remote,AppX,192,27,127.08,Low,0,1,,Friday,16,2025-06-06
C0001,2,Classify Request,2025-06-06 16:44:41,Agent_D,Chat,SMB-Retail,Plus,Remote,AppX,242,55,133.34,Low,0,0,,Friday,16,2025-06-06
C0001,3,Enrich Data,2025-06-06 16:46:51,Agent_D,Chat,SMB-Retail,Plus,Remote,AppX,75,55,125.89,Medium,0,0,,Friday,16,2025-06-06
C0001,4,Manual Approval,2025-06-06 16:54:58,Mgr_1,Chat,SMB-Retail,Plus,Remote,AppX,432,295,143.34,Medium,0,0,,Friday,16,2025-06-06
C0001,5,Quality Check,2025-06-06 17:10:27,QA_2,Chat,SMB-Retail,Plus,Remote,AppX,634,88,139.06,Medium,0,0,,Friday,17,2025-06-06
C0001,6,Enrich Data,2025-06-06 17:20:33,Agent_A,Chat,SMB-Retail,Plus,Remote,AppX,518,52,135.95,Medium,0,0,,Friday,17,2025-06-06
C0001,7,Quality Check,2025-06-06 17:36:52,QA_1,Chat,SMB-Retail,Plus,Remote,AppX,927,122,143.34,Low,0,0,,Friday,17,2025-06-06
C0001,8,Fulfill Request,2025-06-06 17:43:23,Agent_E,Chat,SMB-Retail,Plus,Remote,AppX,269,60,129.81,Medium,0,0,,Friday,17,2025-06-06
C0001,9,Notify Customer,2025-06-06 17:47:25,Agent_E,Chat,SMB-Retail,Plus,Remote,AppX,182,45,133.39,High,0,0,,Friday,17,2025-06-06
C0001,10,Close Ticket,2025-06-06 17:51:00,Agent_E,Chat,SMB-Retail,Plus,Remote,AppX,170,22,127.59,High,0,0,Resolved,Friday,17,2025-06-06
C0002,1,Receive Request,2025-07-12 10:50:27,Agent_B,Email,SMB-Tech,Core,Remote,AppX,87,33,82.6,Low,0,0,,Saturday,10,2025-07-12
C0002,2,Classify Request,2025-07-12 10:56:31,Agent_B,Email,SMB-Tech,Core,Remote,AppX,331,34,85.28,Medium,0,1,,Saturday,10,2025-07-12
C0002,3,Enrich Data,2025-07-12 11:00:19,Agent_C,Email,SMB-Tech,Core,Remote,AppX,194,218,82.89,Medium,1,0,,Saturday,11,2025-07-12
C0002,4,Manual Approval,2025-07-12 11:13:11,Mgr_1,Email,SMB-Tech,Core,Remote,AppX,554,166,95.55,Medium,0,0,,Saturday,11,2025-07-12
C0002,5,Quality Check,2025-07-12 11:27:42,QA_1,Email,SMB-Tech,Core,Remote,AppX,705,159,96.59,Medium,0,1,,Saturday,11,2025-07-12
C0002,6,Fulfill Request,2025-07-12 11:33:50,Agent_B,Email,SMB-Tech,Core,Remote,AppX,209,128,80.83,Low,0,0,,Saturday,11,2025-07-12
C0002,7,Notify Customer,2025-07-12 11:38:10,Agent_E,Email,SMB-Tech,Core,Remote,AppX,132,56,84.21,Medium,0,0,,Saturday,11,2025-07-12
C0002,8,Close Ticket,2025-07-12 11:44:04,Agent_E,Email,SMB-Tech,Core,Remote,AppX,298,135,86.79,Medium,0,0,Resolved,Saturday,11,2025-07-12
C0003,1,Receive Request,2025-03-15 16:48:03,Agent_A,Phone,SMB-Tech,Plus,Remote,ERP-Y,243,85,76.11,Low,0,1,,Saturday,16,2025-03-15
C0003,2,Classify Request,2025-03-15 16:54:20,Agent_A,Phone,SMB-Tech,Plus,Remote,ERP-Y,292,44,73.45,Medium,0,1,,Saturday,16,2025-03-15
C0003,3,Enrich Data,2025-03-15 17:00:47,Agent_D,Phone,SMB-Tech,Plus,Remote,ERP-Y,343,147,76.42,Medium,0,0,,Saturday,17,2025-03-15
C0003,4,Quality Check,2025-03-15 17:06:57,QA_1,Phone,SMB-Tech,Plus,Remote,ERP-Y,223,150,79.15,Medium,0,0,,Saturday,17,2025-03-15
C0003,5,Fulfill Request,2025-03-15 17:10:39,Agent_B,Phone,SMB-Tech,Plus,Remote,ERP-Y,72,60,72.34,Medium,0,0,,Saturday,17,2025-03-15
C0003,6,Notify Customer,2025-03-15 17:16:26,Agent_B,Phone,SMB-Tech,Plus,Remote,ERP-Y,287,248,79.85,Medium,0,0,,Saturday,17,2025-03-15
C0003,7,Close Ticket,2025-03-15 17:21:37,Agent_E,Phone,SMB-Tech,Plus,Remote,ERP-Y,63,51,70.78,High,0,0,Cancelled,Saturday,17,2025-03-15
C0004,1,Receive Request,2025-07-21 00:04:28,Agent_E,Phone,SMB-Tech,Plus,Austin,CRM-Z,268,19,87.89,Low,0,0,,Monday,0,2025-07-21
C0004,2,Classify Request,2025-07-21 00:10:32,Agent_D,Phone,SMB-Tech,Plus,Austin,CRM-Z,345,37,86.46,Medium,0,0,,Monday,0,2025-07-21
C0004,3,Quality Check,2025-07-21 00:32:45,QA_2,Phone,SMB-Tech,Plus,Austin,CRM-Z,1296,157,112.29,Medium,0,0,,Monday,0,2025-07-21
C0004,4,Fulfill Request,2025-07-21 00:43:10,Agent_D,Phone,SMB-Tech,Plus,Austin,CRM-Z,468,90,93.55,Medium,0,0,,Monday,0,2025-07-21
C0004,5,Notify Customer,2025-07-21 00:47:30,Agent_A,Phone,SMB-Tech,Plus,Austin,CRM-Z,170,21,84.8,Medium,0,0,,Monday,0,2025-07-21
C0004,6,Close Ticket,2025-07-21 00:48:26,Agent_A,Phone,SMB-Tech,Plus,Austin,CRM-Z,35,46,81.9,Low,0,0,Resolved,Monday,0,2025-07-21
C0005,1,Receive Request,2025-08-13 04:28:54,Agent_D,Web,SMB-Tech,Core,Remote,AppX,354,33,140.48,Medium,0,0,,Wednesday,4,2025-08-13
C0005,2,Classify Request,2025-08-13 04:39:44,Agent_E,Web,SMB-Tech,Core,Remote,AppX,617,22,142.34,Low,0,1,,Wednesday,4,2025-08-13
C0005,3,Enrich Data,2025-08-13 04:41:58,Agent_C,Web,SMB-Tech,Core,Remote,AppX,112,78,144.74,Medium,1,0,,Wednesday,4,2025-08-13
C0005,4,Manual Approval,2025-08-13 04:46:51,Mgr_1,Web,SMB-Tech,Core,Remote,AppX,215,207,140.6,Low,0,1,,Wednesday,4,2025-08-13
C0005,5,Quality Check,2025-08-13 04:57:07,QA_1,Web,SMB-Tech,Core,Remote,AppX,409,172,147.62,Medium,0,0,,Wednesday,4,2025-08-13
C0005,6,Fulfill Request,2025-08-13 05:01:53,Agent_E,Web,SMB-Tech,Core,Remote,AppX,114,117,148.38,Medium,0,1,,Wednesday,5,2025-08-13
C0005,7,Notify Customer,2025-08-13 05:06:28,Agent_E,Web,SMB-Tech,Core,Remote,AppX,158,54,138.89,Medium,0,0,,Wednesday,5,2025-08-13
C0005,8,Close Ticket,2025-08-13 05:11:23,Agent_E,Web,SMB-Tech,Core,Remote,AppX,241,75,141.86,High,0,0,Resolved,Wednesday,5,2025-08-13
C0006,1,Receive Request,2025-06-21 15:17:08,Agent_D,Email,SMB-Tech,Plus,Remote,AppX,368,24,62.21,Medium,0,1,,Saturday,15,2025-06-21
C0006,2,Classify Request,2025-06-21 15:20:50,Agent_B,Email,SMB-Tech,Plus,Remote,AppX,198,54,58.52,High,0,0,,Saturday,15,2025-06-21
C0006,3,Enrich Data,2025-06-21 15:23:08,Agent_D,Email,SMB-Tech,Plus,Remote,AppX,84,65,55.15,Medium,0,0,,Saturday,15,2025-06-21
C0006,4,Manual Approval,2025-06-21 15:31:16,Mgr_1,Email,SMB-Tech,Plus,Remote,AppX,423,350,66.06,High,0,0,,Saturday,15,2025-06-21
C0006,5,Quality Check,2025-06-21 15:46:57,QA_2,Email,SMB-Tech,Plus,Remote,AppX,591,233,68.37,Medium,0,0,,Saturday,15,2025-06-21
C0006,6,Fulfill Request,2025-06-21 15:52:49,Agent_E,Email,SMB-Tech,Plus,Remote,AppX,119,66,61.26,Medium,0,0,,Saturday,15,2025-06-21
C0006,7,Notify Customer,2025-06-21 15:59:42,Agent_D,Email,SMB-Tech,Plus,Remote,AppX,347,18,55.48,Medium,0,0,,Saturday,15,2025-06-21
C0006,8,Close Ticket,2025-06-21 16:01:24,Agent_E,Email,SMB-Tech,Plus,Remote,AppX,84,36,51.75,Low,0,0,Resolved,Saturday,16,2025-06-21
C0007,1,Receive Request,2025-05-27 08:18:54,Agent_E,Email,SMB-Retail,Pro,Denver,AppX,114,49,71.13,Medium,0,0,,Tuesday,8,2025-05-27
C0007,2,Classify Request,2025-05-27 08:22:35,Agent_D,Email,SMB-Retail,Pro,Denver,AppX,172,65,69.98,Medium,0,0,,Tuesday,8,2025-05-27
C0007,3,Manual Approval,2025-05-27 08:30:05,Mgr_1,Email,SMB-Retail,Pro,Denver,AppX,385,112,78.68,Medium,0,0,,Tuesday,8,2025-05-27
C0007,4,Quality Check,2025-05-27 08:54:30,QA_2,Email,SMB-Retail,Pro,Denver,AppX,1353,46,101.9,Medium,0,0,,Tuesday,8,2025-05-27
C0007,5,Enrich Data,2025-05-27 08:59:42,Agent_A,Email,SMB-Retail,Pro,Denver,AppX,266,48,74.28,Medium,0,0,,Tuesday,8,2025-05-27
C0007,6,Quality Check,2025-05-27 09:02:40,QA_2,Email,SMB-Retail,Pro,Denver,AppX,130,163,77.61,Medium,0,1,,Tuesday,9,2025-05-27
C0007,7,Fulfill Request,2025-05-27 09:08:29,Agent_D,Email,SMB-Retail,Pro,Denver,AppX,186,63,74.34,Medium,0,0,,Tuesday,9,2025-05-27
C0007,8,Notify Customer,2025-05-27 09:12:51,Agent_A,Email,SMB-Retail,Pro,Denver,AppX,199,42,74.45,Medium,0,0,,Tuesday,9,2025-05-27
C0007,9,Close Ticket,2025-05-27 09:15:35,Agent_B,Email,SMB-Retail,Pro,Denver,AppX,122,50,72.58,Medium,0,0,Resolved,Tuesday,9,2025-05-27
C0008,1,Receive Request,2025-04-22 13:15:51,Agent_E,Phone,SMB-Services,Core,Denver,ERP-Y,51,131,138.56,High,0,0,,Tuesday,13,2025-04-22
C0008,2,Classify Request,2025-04-22 13:19:43,Agent_E,Phone,SMB-Services,Core,Denver,ERP-Y,101,45,131.01,High,0,0,,Tuesday,13,2025-04-22
C0008,3,Enrich Data,2025-04-22 13:22:43,Agent_B,Phone,SMB-Services,Core,Denver,ERP-Y,135,140,136.9,Medium,0,0,,Tuesday,13,2025-04-22
C0008,4,Manual Approval,2025-04-22 13:33:32,Mgr_1,Phone,SMB-Services,Core,Denver,ERP-Y,509,138,146.19,Low,0,0,,Tuesday,13,2025-04-22
C0008,5,Quality Check,2025-04-22 13:44:46,QA_2,Phone,SMB-Services,Core,Denver,ERP-Y,536,157,140.64,Low,0,0,,Tuesday,13,2025-04-22
C0008,6,Enrich Data,2025-04-22 13:54:15,Agent_C,Phone,SMB-Services,Core,Denver,ERP-Y,412,77,147.3,High,0,0,,Tuesday,13,2025-04-22
C0008,7,Quality Check,2025-04-22 14:12:22,QA_1,Phone,SMB-Services,Core,Denver,ERP-Y,1010,132,158.69,Medium,0,0,,Tuesday,14,2025-04-22
C0008,8,Fulfill Request,2025-04-22 14:19:33,Agent_C,Phone,SMB-Services,Core,Denver,ERP-Y,299,152,135.12,High,0,0,,Tuesday,14,2025-04-22
C0008,9,Notify Customer,2025-04-22 14:24:59,Agent_B,Phone,SMB-Services,Core,Denver,ERP-Y,174,10,138.0,High,0,0,,Tuesday,14,2025-04-22
C0008,10,Close Ticket,2025-04-22 14:28:22,Agent_C,Phone,SMB-Services,Core,Denver,ERP-Y,193,11,135.29,Medium,0,0,Cancelled,Tuesday,14,2025-04-22
C0009,1,Receive Request,2025-07-30 17:51:21,Agent_A,Email,SMB-Retail,Plus,Remote,AppX,141,71,111.13,Low,0,0,,Wednesday,17,2025-07-30
