Unnamed: 0,case_id,event_num_in_case,activity_name,department,resource_role,resource_id,start_timestamp_utc,end_timestamp_utc,duration_minutes,wait_time_minutes,queue_length_at_start,system_load_index_0to1,expected_duration_minutes,variance_to_expected,is_bottleneck_event,inbound_channel,region,customer_tier,industry,company_size_bucket,tech_maturity_1to5,risk_tolerance_1to5,priority,sla_hours,sla_breached,handoff_count_so_far,case_cycle_time_hours,weekday,hour_of_day,month
29,0d4348b3-4b48-4787-b92c-b45900fa070e,4,Assign Resource,Operations,QA Analyst,a4451a25-85f6-4f3b-b0d5-ededd95f869f,2025-02-25 19:32:04,2025-03-12 20:15:40,58.35277736313287,27.831924885046057,5,0.2017807313792044,108,0.5752187326556564,0,Email,US-East,Gold,Software & SaaS,1-50,2,2,High,86,0,3,20.750893907638236,Thursday,11,6
9,572f4bae-3d37-4d1b-abfd-acda883306bc,4,Assign Resource,IT,Coordinator,366ddcf4-392d-4407-a625-02436eeda7ff,2025-04-16 16:32:09,2025-05-30 09:07:43,14.272557915822821,96.39114135124495,6,0.5604245312908656,20,0.35230814104846064,1,Email,US-West,Standard,Retail,1-50,2,3,High,81,0,3,23.71212454920182,Saturday,15,2
35,1d2b6e85-d912-48eb-8f49-43869d210930,7,Close Ticket,Customer Success,Coordinator,ca62b343-7a93-43ba-a6b2-3f1d2531a3eb,2025-05-14 16:12:18,2025-04-25 08:19:09,20.710512178333353,55.520909645839886,5,0.42459668362592556,30,-0.6655,0,Portal,US-East,Standard,Software & SaaS,5000+,2,2,Medium,56,0,1,12.122099842179477,Saturday,15,5
38,da56ce9c-0a67-4bd9-a458-05867ad78da4,3,Assign Resource,Operations,QA Analyst,342664a2-0675-4e61-8357-49ad51899ae0,2025-02-27 14:38:50,2025-04-18 06:00:52,84.84904807367501,80.96841752628055,2,0.531158071655156,52,0.5833809547203661,0,Portal,US-East,Gold,Logistics,51-200,4,3,Medium,81,0,1,21.533938420156513,Tuesday,5,5
0,9c6445bc-5e17-4d63-8ca5-41f77d58ad5e,4,Execute Task,Finance,Analyst,c16dc6ee-ae61-4804-8ff8-de71f3515128,2025-04-11 17:56:59,2025-07-02 05:50:42,10.250136137177188,41.37297027232549,1,0.39551970901519196,87,0.6831975352091373,0,API,US-Central,Platinum,Healthcare,51-200,3,3,Low,60,0,1,20.78403006896635,Sunday,2,5
6,9b486975-c213-4c75-93c3-a11ece025ecf,2,Validate Request,IT,Coordinator,8fb6dc36-cb41-406e-ac2c-34561bc61ae4,2025-04-08 01:32:16,2025-06-13 17:30:58,134.76161960170714,84.24566151718243,3,0.18222583403254208,90,0.9867308897293248,0,API,US-West,Standard,Healthcare,1-50,1,4,Medium,49,0,0,8.609250000000001,Wednesday,12,4
26,1e332fd4-22bb-4f9d-90f4-69bc37d329c1,5,Quality Check,IT,Analyst,9dadbccf-c1d8-4c2d-acc7-08f28d8a8fd0,2025-03-25 17:22:42,2025-03-03 03:08:11,56.55449314888621,47.54851590442963,5,0.045778829427886414,89,-0.08525592172928731,0,API,US-East,Gold,Financial Services,51-200,4,3,Medium,102,0,1,20.59964741462914,Sunday,18,4
20,ff6cbb37-5735-49df-a423-0ac9585bddfc,7,Receive Request,Customer Success,VendorMgr,5f14c63d-eef7-4766-9348-073523351207,2025-06-04 13:00:13,2025-05-03 01:44:46,37.149371245808545,21.496079668738517,3,0.23570964903285166,26,0.3347856686499712,0,Portal,US-East,Standard,Financial Services,1-50,2,1,Medium,54,0,1,12.816244874289609,Friday,10,4
24,7ba1f2c1-f07e-4950-b0ae-7c98d5a092f3,7,Assign Resource,Customer Success,QA Analyst,deab5640-d80c-4a58-86e6-0e910a7e1aaf,2025-05-30 09:30:13,2025-02-20 11:56:24,7.169885673561314,102.11579721950159,6,0.4263766346957275,187,-0.5243109471189813,1,API,US-East,Standard,Energy,1-50,2,3,Medium,75,0,1,23.60596580758231,Thursday,25,5
12,790dea5d-849c-42fa-ae41-b02600ea5bea,4,Execute Task,IT,QA Analyst,572117b0-ea2c-4a19-9a8c-1c8308e099e8,2025-03-23 14:28:33,2025-07-18 23:57:37,111.89253051050223,55.72875658159927,5,0.16613717306497255,58,-0.5371124228180328,0,Email,US-East,Standard,Retail,1-50,1,3,Medium,53,0,1,17.15582007429897,Thursday,18,6
